quick,1000,0.000154,2.9e-05,2.7e-05,
merge,1000,0.000538,0.000588,0.000649,
comb,1000,0.000179,4.4e-05,7e-05,
bubble,1000,0.00326,0.000904,0.004252,
insertion,1000,0.000692,3e-06,0.001427,
selection,1000,0.002807,0.003192,0.003451,
quick,1000,0.00017,3.6e-05,3.1e-05,
merge,1000,0.000805,0.000577,0.000596,
comb,1000,0.000313,6.8e-05,0.000107,
bubble,1000,0.005336,0.001562,0.008011,
insertion,1000,0.001081,6e-06,0.002208,
selection,1000,0.005126,0.004949,0.00498,
quick,1000,0.0003,4.9e-05,4.4e-05,
merge,1000,0.001151,0.000734,0.00079,
comb,1000,0.000353,8.3e-05,0.000142,
bubble,1000,0.006592,0.001674,0.008716,
insertion,1000,0.001432,7e-06,0.002774,
selection,1000,0.005502,0.005268,0.005527,
quick,1000,0.000262,6.6e-05,5.3e-05,
merge,1000,0.001106,0.000827,0.000805,
comb,1000,0.000372,8.5e-05,0.000152,
bubble,1000,0.007877,0.001636,0.008281,
insertion,1000,0.001974,8e-06,0.002634,
selection,1000,0.00516,0.005776,0.005223,
quick,1000,0.000267,6.1e-05,5.7e-05,
merge,1000,0.001059,0.000803,0.000791,
comb,1000,0.000389,8.7e-05,0.000146,
bubble,1000,0.006884,0.001814,0.00861,
insertion,1000,0.001502,8e-06,0.003244,
selection,1000,0.00554,0.004866,0.005168,
quick,1000,0.000277,5.4e-05,4.9e-05,
merge,1000,0.000954,0.00085,0.000882,
comb,1000,0.000389,9.3e-05,0.000168,
bubble,1000,0.007133,0.001658,0.00844,
insertion,1000,0.001561,8e-06,0.002729,
selection,1000,0.005668,0.005724,0.005582,
quick,1000,0.00028,3.9e-05,3.6e-05,
merge,1000,0.001182,0.000878,0.000959,
comb,1000,0.000394,9.2e-05,0.000169,
bubble,1000,0.007477,0.001838,0.008882,
insertion,1000,0.001365,8e-06,0.002793,
selection,1000,0.007174,0.00721,0.005674,
quick,1000,0.00033,6.6e-05,6e-05,
merge,1000,0.001169,0.00095,0.000986,
comb,1000,0.000393,9.3e-05,0.000158,
bubble,1000,0.00711,0.00189,0.010123,
insertion,1000,0.00177,9e-06,0.004546,
selection,1000,0.006354,0.005959,0.005866,
quick,1000,0.000339,4.8e-05,4.1e-05,
merge,1000,0.001292,0.000856,0.000845,
comb,1000,0.000356,0.000101,0.000176,
bubble,1000,0.007252,0.001817,0.009293,
insertion,1000,0.001448,7e-06,0.002365,
selection,1000,0.006255,0.005197,0.005337,
quick,1000,0.000306,7.4e-05,5.3e-05,
merge,1000,0.001055,0.00092,0.000862,
comb,1000,0.000371,9.5e-05,0.000153,
bubble,1000,0.007055,0.001911,0.008635,
insertion,1000,0.001396,8e-06,0.002755,
selection,1000,0.005536,0.005191,0.004922,
quick,2000,0.000608,0.000105,9.9e-05,
merge,2000,0.002289,0.001833,0.001614,
comb,2000,0.000818,0.000195,0.000329,
bubble,2000,0.02747,0.006971,0.031884,
insertion,2000,0.005193,1.2e-05,0.009832,
selection,2000,0.020558,0.022119,0.021253,
quick,2000,0.000502,6.2e-05,6.1e-05,
merge,2000,0.001995,0.001394,0.001405,
comb,2000,0.000669,0.000162,0.000249,
bubble,2000,0.021386,0.006076,0.029208,
insertion,2000,0.004189,1.1e-05,0.010062,
selection,2000,0.022688,0.024933,0.022299,
quick,2000,0.000631,0.000118,0.000113,
merge,2000,0.00233,0.001929,0.001721,
comb,2000,0.000798,0.000187,0.00033,
bubble,2000,0.026557,0.006589,0.038357,
insertion,2000,0.005284,1.2e-05,0.009721,
selection,2000,0.020124,0.021392,0.024087,
quick,2000,0.000499,6.6e-05,6.2e-05,
merge,2000,0.001993,0.001396,0.001353,
comb,2000,0.000649,0.00017,0.000275,
bubble,2000,0.023804,0.005904,0.032736,
insertion,2000,0.005385,1.3e-05,0.009586,
selection,2000,0.02131,0.023585,0.020637,
quick,2000,0.000476,9.5e-05,9.5e-05,
merge,2000,0.001785,0.001243,0.001389,
comb,2000,0.000721,0.000152,0.000293,
bubble,2000,0.022061,0.006156,0.032954,
insertion,2000,0.005123,1.3e-05,0.011108,
selection,2000,0.021003,0.023287,0.021622,
quick,2000,0.000579,0.000101,0.0001,
merge,2000,0.002459,0.001549,0.001525,
comb,2000,0.000867,0.000217,0.00037,
bubble,2000,0.022622,0.006411,0.029003,
insertion,2000,0.00452,1.2e-05,0.008818,
selection,2000,0.019189,0.020185,0.018546,
quick,2000,0.000408,6.8e-05,7.1e-05,
merge,2000,0.001665,0.001288,0.001244,
comb,2000,0.000583,0.00014,0.000216,
bubble,2000,0.018415,0.005367,0.02923,
insertion,2000,0.003784,9e-06,0.006965,
selection,2000,0.017417,0.019686,0.01989,
quick,2000,0.000604,7.5e-05,7.6e-05,
merge,2000,0.002227,0.001469,0.001402,
comb,2000,0.000639,0.00015,0.000263,
bubble,2000,0.020224,0.00524,0.029623,
insertion,2000,0.004223,1.1e-05,0.007317,
selection,2000,0.017542,0.020628,0.020655,
quick,2000,0.0005,5.2e-05,5.3e-05,
merge,2000,0.00162,0.001199,0.001267,
comb,2000,0.000591,0.000133,0.000218,
bubble,2000,0.018494,0.004941,0.031592,
insertion,2000,0.004385,1.1e-05,0.009101,
selection,2000,0.019897,0.020124,0.023066,
quick,2000,0.000537,9.2e-05,8.9e-05,
merge,2000,0.002012,0.001699,0.001505,
comb,2000,0.000671,0.000164,0.000254,
bubble,2000,0.021063,0.005414,0.027357,
insertion,2000,0.004082,1e-05,0.00975,
selection,2000,0.021634,0.018925,0.022566,
quick,3000,0.000908,0.000156,0.000202,
merge,3000,0.003724,0.002827,0.002899,
comb,3000,0.00163,0.000322,0.00047,
bubble,3000,0.066757,0.015117,0.067073,
insertion,3000,0.011383,1.8e-05,0.019653,
selection,3000,0.053229,0.051929,0.045572,
quick,3000,0.000679,9.3e-05,0.0001,
merge,3000,0.003016,0.002413,0.002113,
comb,3000,0.001068,0.000262,0.000463,
bubble,3000,0.060604,0.014598,0.068796,
insertion,3000,0.010748,1.7e-05,0.022055,
selection,3000,0.058333,0.064859,0.068267,
quick,3000,0.001029,0.000136,0.000137,
merge,3000,0.004242,0.003199,0.002861,
comb,3000,0.001406,0.000395,0.000629,
bubble,3000,0.067745,0.014657,0.062756,
insertion,3000,0.008228,1.4e-05,0.015952,
selection,3000,0.051328,0.032974,0.026747,
quick,3000,0.000459,8.3e-05,8.2e-05,
merge,3000,0.001535,0.001164,0.001288,
comb,3000,0.000638,0.000228,0.000316,
bubble,3000,0.043308,0.011283,0.037977,
insertion,3000,0.005499,9e-06,0.012114,
selection,3000,0.041062,0.03632,0.026225,
quick,3000,0.000452,7.5e-05,7.4e-05,
merge,3000,0.001574,0.001153,0.001193,
comb,3000,0.000599,0.000164,0.000252,
bubble,3000,0.040884,0.011031,0.037302,
insertion,3000,0.005147,9e-06,0.011772,
selection,3000,0.043634,0.029178,0.024594,
quick,3000,0.000423,6.7e-05,6.6e-05,
merge,3000,0.001535,0.001263,0.001222,
comb,3000,0.000629,0.000162,0.000233,
bubble,3000,0.041102,0.0113,0.042105,
insertion,3000,0.007198,2e-05,0.015286,
selection,3000,0.04327,0.031737,0.025817,
quick,3000,0.000463,8e-05,8.8e-05,
merge,3000,0.001513,0.00123,0.001213,
comb,3000,0.000611,0.000157,0.00024,
bubble,3000,0.041752,0.013049,0.04078,
insertion,3000,0.005337,1e-05,0.011898,
selection,3000,0.043023,0.030712,0.024964,
quick,3000,0.000399,7.4e-05,7.4e-05,
merge,3000,0.001556,0.001211,0.001227,
comb,3000,0.000609,0.000156,0.000244,
bubble,3000,0.037667,0.010085,0.036459,
insertion,3000,0.005314,1e-05,0.011752,
selection,3000,0.039408,0.037812,0.026787,
quick,3000,0.000461,8.8e-05,8.7e-05,
merge,3000,0.001604,0.001232,0.001349,
comb,3000,0.000639,0.000159,0.000266,
bubble,3000,0.042535,0.010294,0.043829,
insertion,3000,0.00588,9e-06,0.012205,
selection,3000,0.04315,0.038133,0.028889,
quick,3000,0.000496,9.1e-05,9.9e-05,
merge,3000,0.001808,0.001353,0.001382,
comb,3000,0.000714,0.000174,0.000265,
bubble,3000,0.044114,0.011134,0.046197,
insertion,3000,0.006177,1e-05,0.012133,
selection,3000,0.043113,0.035083,0.031567,
quick,4000,0.000675,0.000104,0.000108,
merge,4000,0.002234,0.001695,0.001781,
comb,4000,0.000926,0.000228,0.000352,
bubble,4000,0.101665,0.028161,0.109802,
insertion,4000,0.009808,1.3e-05,0.027073,
selection,4000,0.065358,0.047537,0.051436,
quick,4000,0.00058,6.9e-05,6.8e-05,
merge,4000,0.002136,0.001648,0.001759,
comb,4000,0.000876,0.000217,0.000342,
bubble,4000,0.075279,0.012564,0.065358,
insertion,4000,0.010845,1.4e-05,0.026003,
selection,4000,0.083221,0.056299,0.050898,
quick,4000,0.000549,0.000112,0.000109,
merge,4000,0.002102,0.001607,0.001781,
comb,4000,0.000849,0.000216,0.000342,
bubble,4000,0.072221,0.012988,0.068126,
insertion,4000,0.013829,1.6e-05,0.030918,
selection,4000,0.070579,0.054773,0.051075,
quick,4000,0.000531,9.5e-05,9.6e-05,
merge,4000,0.002183,0.001754,0.00171,
comb,4000,0.000892,0.000217,0.000324,
bubble,4000,0.070864,0.012027,0.0581,
insertion,4000,0.010635,1.4e-05,0.025953,
selection,4000,0.06688,0.052306,0.053616,
quick,4000,0.000578,0.00011,0.000108,
merge,4000,0.002537,0.001868,0.001867,
comb,4000,0.001011,0.000242,0.000394,
bubble,4000,0.078979,0.014596,0.072791,
insertion,4000,0.010563,1.4e-05,0.024928,
selection,4000,0.071573,0.051683,0.048824,
quick,4000,0.000502,0.000109,0.000105,
merge,4000,0.002193,0.001695,0.001861,
comb,4000,0.001007,0.000254,0.000395,
bubble,4000,0.075398,0.01247,0.0606,
insertion,4000,0.009843,1.4e-05,0.029467,
selection,4000,0.07563,0.069322,0.055355,
quick,4000,0.000651,0.000104,0.000104,
merge,4000,0.002331,0.001772,0.002014,
comb,4000,0.000977,0.000241,0.000364,
bubble,4000,0.073208,0.013628,0.07495,
insertion,4000,0.010682,1.4e-05,0.024807,
selection,4000,0.0725,0.051587,0.052371,
quick,4000,0.000642,0.00012,0.000122,
merge,4000,0.002331,0.001724,0.001747,
comb,4000,0.000919,0.000248,0.00036,
bubble,4000,0.065649,0.013197,0.063158,
insertion,4000,0.010454,1.3e-05,0.023101,
selection,4000,0.07316,0.054044,0.053433,
quick,4000,0.000638,0.0001,0.000109,
merge,4000,0.002292,0.001824,0.00177,
comb,4000,0.000899,0.000239,0.000341,
bubble,4000,0.078824,0.013409,0.05981,
insertion,4000,0.009471,1.3e-05,0.02679,
selection,4000,0.067738,0.046992,0.048236,
quick,4000,0.000535,7e-05,7.2e-05,
merge,4000,0.002499,0.001958,0.001937,
comb,4000,0.000954,0.000241,0.000368,
bubble,4000,0.077063,0.01263,0.062412,
insertion,4000,0.009704,1.3e-05,0.026057,
selection,4000,0.064044,0.047416,0.048164,
quick,5000,0.000724,8.8e-05,8.7e-05,
